Stage,BayesOptimization,PCADim,Gamma,Threshold,ValAccuracy,ValPrecision,ValRecall,ValF1,ValAUC,TestAccuracy,TestPrecision,TestRecall,TestSpecificity,TestFPR,TestFNR,TestF1,TestIoU,TestAUC,TP,FP,TN,FN
Bayes-0,Original Naive Bayes,NaN,NaN,0.5,0.716012084592145,0.195238095238095,0.683333333333333,0.303703703703704,0.795445736434109,0.716012084592145,0.186274509803922,0.633333333333333,0.724252491694352,0.275747508305648,0.366666666666667,0.287878787878788,0.168141592920354,0.800013842746401,38,166,436,22
Bayes-1,Naive Bayes + PCA,80,NaN,0.5,0.889728096676737,0.415584415584416,0.533333333333333,0.467153284671533,0.860229789590255,0.876132930513595,0.377777777777778,0.566666666666667,0.906976744186046,0.0930232558139535,0.433333333333333,0.453333333333333,0.293103448275862,0.830398671096346,34,56,546,26
Bayes-2,Gaussian Bayes + PCA,80,NaN,0.5,0.885196374622356,0.425925925925926,0.766666666666667,0.547619047619048,0.895722591362127,0.873111782477341,0.386792452830189,0.683333333333333,0.89202657807309,0.10797342192691,0.316666666666667,0.493975903614458,0.328,0.906173864894795,41,65,537,19
Bayes-3,Regularized Gaussian Bayes,80,0.1,0.5,0.86404833836858,0.375,0.75,0.5,0.899916943521595,0.870090634441088,0.383928571428571,0.716666666666667,0.885382059800664,0.114617940199336,0.283333333333333,0.5,0.333333333333333,0.898615725359912,43,69,533,17
Bayes-4,Regularized Bayes + threshold,80,0.1,0.75,0.913897280966767,0.518987341772152,0.683333333333333,0.589928057553957,0.899916943521595,0.918429003021148,0.551724137931034,0.533333333333333,0.956810631229236,0.0431893687707641,0.466666666666667,0.542372881355932,0.372093023255814,0.898615725359912,32,26,576,28
